H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
9,2,5,2,1.2222222222222223,1.1111111111111112,0.1111111111111111,1.2222222222222223,6,3,1,2,1.8333333333333333,2.0,-0.16666666666666666,1.6666666666666667,1,1
5,2,1,2,0.6,0.8,-0.2,1.4,7,4,1,2,1.7142857142857142,1.1428571428571428,0.5714285714285714,1.8571428571428572,0,0
6,2,3,1,1.0,0.8333333333333334,0.16666666666666666,1.5,10,2,6,2,1.3,1.2,0.1,1.2,0,1
6,3,2,1,2.1666666666666665,1.5,0.6666666666666666,1.8333333333333333,7,3,2,2,1.8571428571428572,2.0,-0.14285714285714285,1.5714285714285714,1,1
9,4,1,4,2.7777777777777777,2.2222222222222223,0.5555555555555556,1.4444444444444444,10,6,1,3,2.0,1.2,0.8,1.9,0,1
5,4,0,1,3.6,0.8,2.8,2.4,7,2,4,1,1.2857142857142858,1.2857142857142858,0.0,1.4285714285714286,0,1
7,4,3,0,2.2857142857142856,1.1428571428571428,1.1428571428571428,2.142857142857143,6,3,3,0,1.6666666666666667,0.16666666666666666,1.5,2.0,0,1
10,4,4,2,1.9,0.6,1.3,1.6,5,4,0,1,1.8,0.6,1.2,2.4,1,1
5,1,0,4,0.6,1.8,-1.2,0.6,10,5,4,1,2.1,0.4,1.7,1.9,1,1
7,2,3,2,1.0,0.7142857142857143,0.2857142857142857,1.2857142857142858,9,2,3,4,1.4444444444444444,1.6666666666666667,-0.2222222222222222,1.0,0,0
6,4,0,2,1.5,1.0,0.5,2.0,10,5,4,1,1.2,0.3,0.9,1.9,1,1
7,4,3,0,1.2857142857142858,0.42857142857142855,0.8571428571428571,2.142857142857143,10,6,2,2,2.0,1.1,0.9,2.0,0,0
7,3,4,0,1.5714285714285714,0.2857142857142857,1.2857142857142858,1.8571428571428572,10,4,2,4,2.6,2.1,0.5,1.4,0,0
6,2,1,3,0.5,0.8333333333333334,-0.3333333333333333,1.1666666666666667,7,2,3,2,0.8571428571428571,1.1428571428571428,-0.2857142857142857,1.2857142857142858,1,0
10,3,5,2,1.7,0.8,0.9,1.4,7,2,4,1,1.0,0.7142857142857143,0.2857142857142857,1.4285714285714286,0,1
10,5,4,1,2.1,0.4,1.7,1.9,10,6,3,1,1.6,0.3,1.3,2.1,1,1
5,2,1,2,1.2,1.0,0.2,1.4,9,6,2,1,1.5555555555555556,0.6666666666666666,0.8888888888888888,2.2222222222222223,0,0
7,4,0,3,1.2857142857142858,1.4285714285714286,-0.14285714285714285,1.7142857142857142,6,1,1,4,0.6666666666666666,1.6666666666666667,-1.0,0.6666666666666666,1,1
8,3,4,1,1.375,0.375,1.0,1.625,10,5,2,3,2.7,1.8,0.9,1.7,0,0
8,5,3,0,1.25,0.375,0.875,2.25,10,7,0,3,2.4,1.4,1.0,2.1,0,0
10,3,6,1,1.6,0.6,1.0,1.5,10,6,3,1,2.1,0.3,1.8,2.1,0,1
10,7,2,1,2.2,0.3,1.9,2.3,10,6,2,2,1.6,0.4,1.2,2.0,1,1
5,3,1,1,1.0,0.8,0.2,2.0,9,5,1,3,1.7777777777777777,0.7777777777777778,1.0,1.7777777777777777,0,0
5,0,0,5,0.2,2.6,-2.4,0.0,6,3,0,3,1.0,0.8333333333333334,0.16666666666666666,1.5,0,0
7,3,3,1,1.4285714285714286,1.0,0.42857142857142855,1.7142857142857142,10,7,2,1,1.5,0.6,0.9,2.3,0,1
10,6,0,4,2.0,1.5,0.5,1.8,10,5,2,3,2.7,1.8,0.9,1.7,0,1
8,3,3,2,1.125,0.625,0.5,1.5,7,4,2,1,2.142857142857143,1.2857142857142858,0.8571428571428571,2.0,0,0
7,3,1,3,0.8571428571428571,0.7142857142857143,0.14285714285714285,1.4285714285714286,8,2,1,5,0.375,1.0,-0.625,0.875,1,0
6,4,1,1,0.8333333333333334,0.3333333333333333,0.5,2.1666666666666665,7,2,1,4,0.42857142857142855,1.1428571428571428,-0.7142857142857143,1.0,0,1
8,5,3,0,2.0,0.625,1.375,2.25,8,3,4,1,1.25,0.875,0.375,1.625,0,0
9,3,5,1,1.3333333333333333,0.4444444444444444,0.8888888888888888,1.5555555555555556,9,6,3,0,1.3333333333333333,0.4444444444444444,0.8888888888888888,2.3333333333333335,0,1
